theta,recall,precision,far,f1,dist_to_ideal
0.8112,0.4486,0.9795,0.0025,0.6154,0.5514056673629679
0.8145,0.4479,0.9794,0.0025,0.6147,0.55210566017747
0.8178,0.4472,0.9794,0.0025,0.614,0.5528056530101695
0.8211,0.4472,0.9794,0.0025,0.614,0.5528056530101695
0.8245,0.4457,0.9793,0.0025,0.6126,0.5543056377126251
0.8278,0.4457,0.9809,0.0023,0.6129,0.5543047717636932
0.8311,0.4436,0.9808,0.0023,0.6109,0.5564047537539556
0.8344,0.4428,0.9823,0.0021,0.6105,0.5572039572723797
0.8377,0.4407,0.9823,0.0021,0.6084,0.5593039424141404
0.841,0.4392,0.9822,0.0021,0.607,0.5608039318692407
0.8443,0.4378,0.9821,0.0021,0.6056,0.5622039220781015
0.8476,0.4356,0.9821,0.0021,0.6035,0.564403906790164
0.8509,0.432,0.9835,0.002,0.6003,0.5680035211158466
0.8543,0.4276,0.9834,0.002,0.5961,0.5724034940494336
0.8576,0.4219,0.9831,0.002,0.5904,0.5781034595987123
0.8609,0.4168,0.9829,0.002,0.5854,0.5832034293451985
0.8642,0.4074,0.9843,0.0018,0.5763,0.5926027337095232
0.8675,0.4045,0.9859,0.0016,0.5736,0.5955021494503608
0.8708,0.4009,0.9875,0.0014,0.5703,0.5991016357847807
0.8741,0.3994,0.9892,0.0012,0.5691,0.6006011988000024
0.8774,0.398,0.9892,0.0012,0.5676,0.6020011960121009
0.8807,0.3936,0.9891,0.0012,0.5631,0.60640118733393
0.8841,0.39,0.989,0.0012,0.5594,0.6100011803267269
0.8874,0.3886,0.9908,0.001,0.5582,0.611400817794677
0.8907,0.3828,0.9906,0.001,0.5522,0.6172008101096432
0.894,0.377,0.9905,0.001,0.5461,0.6230008025677013
0.8973,0.3719,0.9904,0.001,0.5408,0.6281007960510797
0.9006,0.3647,0.9902,0.001,0.5331,0.6353007870292622
0.9039,0.3618,0.9901,0.001,0.5299,0.6382007834529819
0.9072,0.3589,0.99,0.001,0.5268,0.6411007799090561
0.9105,0.3524,0.9898,0.001,0.5197,0.6476007720810715
0.9139,0.3488,0.9897,0.001,0.5158,0.6512007678128151
0.9172,0.3423,0.9895,0.001,0.5086,0.6577007602245871
0.9205,0.3372,0.9894,0.001,0.503,0.6628007543749479
0.9238,0.3307,0.9892,0.001,0.4957,0.6693007470487389
0.9271,0.3256,0.9912,0.0008,0.4902,0.6744004744956812
0.9304,0.3227,0.9911,0.0008,0.4869,0.6773004724640312
0.9337,0.3213,0.9911,0.0008,0.4852,0.6787004714894488
0.937,0.3184,0.991,0.0008,0.4819,0.6816004694834064
0.9403,0.3111,0.9908,0.0008,0.4736,0.6889004645084804
0.9436,0.3054,0.9906,0.0008,0.4668,0.6946004606966512
0.947,0.2981,0.9904,0.0008,0.4583,0.7019004559052515
0.9503,0.2822,0.9898,0.0008,0.4392,0.7178004458064929
0.9536,0.2576,0.9889,0.0008,0.4087,0.7424004310343576
0.9569,0.2214,0.9871,0.0008,0.3617,0.7786004109939835
0.9602,0.2127,0.9899,0.0006,0.3502,0.78730022862946
0.9635,0.212,0.9899,0.0006,0.3492,0.7880002284263629
0.9668,0.2048,0.9895,0.0006,0.3393,0.7952002263581167
0.9701,0.2012,0.9929,0.0004,0.3345,0.798800100150219
0.9734,0.1975,0.9927,0.0004,0.3295,0.8025000996884674
0.9768,0.191,0.9962,0.0002,0.3206,0.8090000247218784
0.9801,0.1867,0.9961,0.0002,0.3144,0.8133000245911715
0.9834,0.1773,0.9959,0.0002,0.301,0.8227000243101977
0.9867,0.1664,0.9957,0.0002,0.2852,0.8336000239923221
0.99,0.1483,1.0,0.0,0.2583,0.8517
